supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end,order_norm,score,segment
":, ","rate, ",Asia Pacific,o,: ,2019-05-10,2024-05-06,0.86,0.87,1318,-555,0.3015503875968992,0.808,Good
total_score ,_1,Europe,data,: ,2020-03-26,2022-05-30,0.89,0.87,3120,-1262,1.0,0.893,Excellent
}3data,supplier idlscontact8T00data__name,Middle East & Africa,:: ,contract1-1,2018-11-30,2026-01-12,0.82,0.82,914,61,0.1449612403100775,0.752,Good
: ,}: ,Europe,",so",", ",2020-06-10,2022-07-12,0.87,0.88,653,-1219,0.043798449612403104,0.791,Good
end,,Latin America,{,supplier ,2019-09-28,2026-01-12,0.82,0.85,868,61,0.12713178294573643,0.763,Good
",supplier",total_,Europe,_}{,on ,2019-07-10,2024-07-23,0.88,0.88,1286,-477,0.28914728682170543,0.821,Good
: ,},Europe,__ ,quality_ ,2018-07-03,2022-03-12,0.82,0.82,1240,-1341,0.2713178294573643,0.765,Good
Sid,_-,North America,"00.00-,.3s","_oquality8, ",2018-10-19,2025-03-01,0.93,0.85,1471,-256,0.3608527131782946,0.841,Good
,: . ,Europe,delivery: , ,2019-04-30,2021-12-01,0.88,0.88,2887,-1442,0.9096899224806202,0.883,Excellent
"@, ","contract,:- ",Europe,quality_deliverye,data,2018-09-02,2025-11-14,0.92,0.85,1882,2,0.5201550387596899,0.852,Excellent
:,total-,North America,: ,: ,2021-02-14,2024-01-01,0.82,0.77,688,-681,0.05736434108527132,0.724,Good
:@4}region@email ,", id",Latin America,14,,2019-05-01,2023-09-29,0.86,0.77,2108,-775,0.6077519379844961,0.799,Good
a_,:-,North America,: ,"contact,idqualityeSUP",2020-01-21,2023-12-20,0.83,0.86,734,-693,0.07519379844961241,0.767,Good
", ",:end,Middle East & Africa,}-,", ",2019-05-12,2024-07-14,0.9,0.85,2116,-486,0.6108527131782946,0.851,Excellent
",00T00",supplier@,Europe,0_,:00 -{@n 0,2018-05-13,2023-08-20,0.93,0.86,1341,-815,0.31046511627906975,0.84,Good
supplier: ,00contract9_rate,Europe,: ,contract_id:_00,2019-07-03,2024-03-18,0.86,0.86,1507,-604,0.3748062015503876,0.811,Good
8 0name,total_:-nsupplied00,Asia Pacific,start,",o",2021-07-22,2026-01-12,0.88,0.85,2824,61,0.8852713178294573,0.869,Excellent
", ",",",Middle East & Africa,,",ae@ratescore_00idscore",2019-01-03,2023-01-12,0.83,0.88,1239,-1035,0.2709302325581395,0.794,Good
total,,Europe,",8olemail",: ,2019-11-04,2023-07-14,0.89,0.87,1279,-852,0.2864341085271318,0.822,Good
@quality_2-deliveryT00,saSUP5_ ,Asia Pacific,00,on,2019-07-01,2022-12-21,0.88,0.8,2114,-1057,0.610077519379845,0.821,Good
,: {,Europe,_,{8,2018-05-23,2024-03-21,0.86,0.83,1557,-601,0.3941860465116279,0.801,Good
end ,:_ __,North America,end ,,2020-07-25,2024-12-07,0.89,0.83,554,-340,0.005426356589147287,0.778,Good
: ,contract_ ,North America,a00,end:T00}_T00:- ,2019-02-05,2024-06-30,0.88,0.82,2751,-500,0.8569767441860465,0.854,Excellent
_name 0: ,-}time9 ,Middle East & Africa,: ,contract: ,2021-07-22,2021-12-01,0.93,0.8,716,-1442,0.06821705426356589,0.792,Good
", ",contract ,Europe,suppliers,",",2018-10-05,2022-09-18,0.86,0.77,2901,-1151,0.9151162790697674,0.83,Good
-contract{,-_email_total,North America,a ,,2019-09-12,2024-01-12,0.89,0.77,2432,-670,0.7333333333333333,0.826,Good
"on2e,, ",::on,Europe,: ,. ,2019-07-02,2024-07-01,0.82,0.88,591,-499,0.019767441860465116,0.764,Good
qualitys,country_00on,Asia Pacific,:_ ,total00,2018-11-17,2024-07-01,0.93,0.87,1077,-499,0.20813953488372092,0.834,Good
a,o{,Europe,slcontract,_,2020-03-03,2024-05-29,0.85,0.82,984,-532,0.17209302325581396,0.77,Good
_n-supplier, ,Europe,_,_- ,2021-07-12,2026-01-12,0.92,0.83,1216,61,0.262015503875969,0.818,Good
region,"00-58, ",Europe,", ",", ",2018-06-17,2024-08-14,0.83,0.81,791,-455,0.09728682170542635,0.749,Good
p.idoe,:00:_,Latin America, ,contractcontactid,2019-06-15,2021-12-01,0.82,0.82,970,-1442,0.16666666666666666,0.755,Good
", ",",_startdata_ ",Europe,,", ",2019-07-20,2025-06-01,0.93,0.77,3113,-164,0.9972868217054264,0.873,Excellent
: ,_,Latin America,,: ,2021-07-22,2026-01-12,0.87,0.77,645,61,0.040697674418604654,0.747,Good
", ",on__}:,Asia Pacific,a{oends@4regionsupplierl1: ,2e,2019-05-15,2024-06-05,0.82,0.82,2861,-525,0.8996124031007752,0.828,Good
1SUPidsupplied00,: ,Asia Pacific,",quality.","00, ",2021-04-22,2023-10-08,0.83,0.82,1259,-766,0.27868217054263567,0.771,Good
", 1_rate}_",:,Europe,delivery_-}{ratequality_,: ,2021-05-05,2023-12-14,0.89,0.88,965,-699,0.16472868217054262,0.813,Good
", ",: ,Asia Pacific,:.-0," 0,_on00",2020-02-01,2023-07-01,0.92,0.86,540,-865,0.0,0.804,Good
: ,supplier_namea,Latin America,"-: 0,-_T003",delivery,2021-02-18,2026-01-12,0.82,0.88,585,61,0.01744186046511628,0.764,Good
:00T00_score{:orders-. ,countryn0,Middle East & Africa, ,0,2019-07-21,2021-12-01,0.82,0.82,1007,-1442,0.1810077519379845,0.756,Good
"emails 05regiona,","}-0S6-,, ",Middle East & Africa,onT000time_.,e,2020-05-22,2024-07-09,0.93,0.87,1229,-491,0.26705426356589146,0.84,Good
,suppliersupplier9 ,North America,".idn, ",: ,2020-02-14,2022-09-12,0.89,0.86,2107,-1157,0.6073643410852713,0.85,Good
"_4, ",contract00orders-800.,Europe,",-.e",SUPregion,2019-07-30,2024-08-12,0.82,0.8,881,-457,0.13217054263565892,0.743,Good
 :orders-__,:_,Asia Pacific, 0_,a: ,2018-08-30,2026-01-12,0.87,0.82,1011,61,0.18255813953488373,0.781,Good
}T00orders 0@ ,}: ,Latin America,contactratescorescore@.contract_delivery,:,2018-10-21,2022-05-01,0.86,0.82,3072,-1291,0.9813953488372092,0.856,Excellent
", ",,Europe,"contract00, ",: ,2018-07-22,2022-01-30,0.93,0.77,1985,-1382,0.560077519379845,0.829,Good
2_delivery@country_1countryT00{,quality,North America,:00region,,2018-06-10,2022-11-04,0.87,0.78,1243,-1104,0.27248062015503877,0.774,Good
0 0 ,", ",Europe,: ,:,2020-05-01,2026-01-12,0.86,0.85,556,61,0.006201550387596899,0.771,Good
lT00id e,",",Asia Pacific,: ,":quality 0.0,supplier}orders}supplier} ",2020-04-30,2024-08-23,0.86,0.77,879,-446,0.1313953488372093,0.751,Good
", ",", ",Europe,:-time-6.73totalT000,.,2018-05-10,2023-07-02,0.93,0.88,1668,-864,0.4372093023255814,0.861,Excellent
: ,", ",North America,_ ,: ,2018-05-10,2022-05-10,0.88,0.86,1266,-1282,0.2813953488372093,0.812,Good
202S ,"supplier, ",Latin America,",  0start}",e,2018-08-13,2024-04-13,0.89,0.77,655,-578,0.044573643410852716,0.757,Good
on,total ,Europe,n ,", ",2020-07-10,2024-08-30,0.84,0.77,3100,-439,0.9922480620155039,0.827,Good
contact00,":orders4-:.,2id_scoree-}00{-",Europe,:0_id 0,,2018-05-10,2024-12-29,0.84,0.84,1285,-318,0.28875968992248063,0.785,Good
,_delivery_00,Europe,00,00- 0a00,2018-06-14,2024-12-16,0.93,0.88,2121,-331,0.6127906976744186,0.878,Excellent
totalcontact00}1 ,: ,Latin America,"., ", {,2018-06-16,2022-04-06,0.88,0.82,840,-1316,0.11627906976744186,0.78,Good
: ,@_,Europe,: ,totala0n@,2018-07-17,2024-12-29,0.82,0.83,776,-318,0.09147286821705426,0.751,Good
:00,,North America,starts_supplier,:}total,2020-07-03,2023-05-21,0.92,0.86,757,-906,0.08410852713178295,0.812,Good
} {,", ",Europe,"delivery-}2,T00{_rate","p_-s 0contract,00contract",2021-03-03,2026-01-12,0.82,0.82,847,61,0.1189922480620155,0.75,Good
:sos2 0 ,:,Middle East & Africa,,country 0__end,2018-07-20,2026-01-12,0.93,0.81,2390,61,0.7170542635658915,0.861,Excellent
"data, {",", 00",Middle East & Africa,supplier ,T00__,2020-01-05,2024-12-05,0.93,0.85,3037,-342,0.9678294573643411,0.902,Excellent
", ",: ,Middle East & Africa,",_end ,",contact,2018-06-01,2024-11-16,0.82,0.81,1990,-361,0.562015503875969,0.79,Good
: ,9s,North America,"5--, {start",country:: orders,2021-07-22,2024-07-29,0.88,0.82,2429,-471,0.732170542635659,0.841,Good
:{,: ,Middle East & Africa,"_orders3}-0supplied,-0contactid.9",,2019-01-05,2024-05-20,0.83,0.86,3114,-541,0.9976744186046511,0.859,Excellent
: ,: ,Europe,,"-, ",2019-07-05,2023-03-09,0.93,0.88,1343,-979,0.3112403100775194,0.848,Good
name_total: ,id.,Middle East & Africa,on,: ,2018-07-15,2022-01-11,0.93,0.86,1297,-1401,0.2934108527131783,0.838,Good
p0__,":o, ",Asia Pacific,:1id@.l,A ,2019-02-15,2025-08-31,0.89,0.88,3120,-73,1.0,0.897,Excellent
_ ,00,Europe,supplierdelivery,_delivery00email:contract,2021-07-22,2024-04-14,0.82,0.88,544,-577,0.0015503875968992248,0.762,Good
", ", ,Europe,"contactlstart-o, ",: ,2019-07-20,2024-12-14,0.93,0.87,1597,-333,0.40968992248062014,0.854,Excellent
total ,: ,Europe,suppliername,_ide8,2018-09-30,2024-04-23,0.82,0.87,3115,-568,0.998062015503876,0.858,Excellent
 ,rate 0,North America,: ,", ",2019-07-12,2024-04-30,0.88,0.83,973,-561,0.16782945736434107,0.789,Good
 ,:-} 9contract___71p,Asia Pacific,supplier_score,800country00,2018-12-17,2024-01-30,0.82,0.86,664,-652,0.04806201550387597,0.759,Good
: ,", ",Asia Pacific,8 end8o ,{,2021-01-03,2024-09-12,0.88,0.88,3120,-426,1.0,0.892,Excellent
,: ,Europe,: 0 0:.00__1,start}email,2018-05-10,2024-01-03,0.9,0.88,984,-679,0.17209302325581396,0.819,Good
-}, T00orders_ 0contact_:4:{.totala:,Latin America,", ",-1supplier end,2020-02-17,2024-06-17,0.92,0.77,1950,-513,0.5465116279069767,0.823,Good
_email,,Middle East & Africa,countryrate1,on0 ,2020-09-30,2026-01-12,0.93,0.81,762,61,0.08604651162790698,0.798,Good
: ,,Latin America,- 0@,:_email00end,2021-06-05,2024-04-05,0.93,0.77,3008,-586,0.9565891472868217,0.869,Excellent
"datasuppliersupplied_T00time4qualitytime_, ", ,Europe,",aend",@ ,2021-07-22,2022-03-12,0.88,0.84,1264,-1341,0.2806201550387597,0.804,Good
: ,id,Latin America,,T00 00{,2018-11-15,2024-08-30,0.91,0.82,1498,-439,0.37131782945736436,0.82,Good
supplied_i-: ,a 0 0_8,North America,quality_,suppliedsupplied,2020-01-12,2022-07-12,0.83,0.86,1249,-1219,0.2748062015503876,0.786,Good
:00{delivery_@,,Europe,},: ,2019-11-16,2023-01-18,0.91,0.88,1016,-1029,0.18449612403100776,0.825,Good
"-scoresemail,", ,North America,_delivery__: 0, ,2018-05-10,2026-01-12,0.92,0.8,3101,61,0.9926356589147287,0.879,Excellent
id ,,Asia Pacific,contract:_email9-: ,2{1o ,2020-01-05,2024-01-12,0.82,0.83,792,-670,0.09767441860465116,0.752,Good
contract 057@ , ,Asia Pacific, ,"SUPae, ",2018-05-10,2022-12-25,0.87,0.82,982,-1053,0.17131782945736435,0.78,Good
 ,: ,North America,8SUP,contact,2019-09-09,2024-01-14,0.87,0.78,1264,-668,0.2806201550387597,0.775,Good
",: ",:supplier,Latin America,:00} ,contactsuppliedorders-quality5start,2020-02-14,2026-01-12,0.93,0.77,789,61,0.09651162790697675,0.783,Good
:}_},_name: ,Europe,___: ,: ,2021-07-22,2022-12-16,0.82,0.88,2469,-1062,0.7476744186046511,0.837,Good
":00, ",supplier_sid-94003,Latin America,contracttotal_700{,"on_id,}T00",2018-06-14,2026-01-12,0.92,0.87,874,61,0.12945736434108526,0.821,Good
: ,":-}9o 0,:",Europe,supplier__id: ,: ,2018-05-10,2024-01-30,0.85,0.84,2115,-652,0.6104651162790697,0.822,Good
14_name,-supplier_region,Middle East & Africa,:eordersemailname,SUP-,2020-09-20,2022-08-04,0.93,0.82,1695,-1196,0.4476744186046512,0.838,Good
",, ",_1a5_,Europe,,e,2021-07-21,2026-01-12,0.93,0.88,1562,61,0.39612403100775195,0.857,Excellent
"end 0contract_time00, ","0qualitys.-6-:startn, ",Middle East & Africa,: ,"supplierscore, ",2021-07-20,2023-02-22,0.89,0.77,1954,-994,0.548062015503876,0.808,Good
:email1,:,Asia Pacific,: ,_n: ,2019-07-10,2026-01-01,0.88,0.85,2411,50,0.7251937984496124,0.853,Excellent
supplier ,: ,Latin America,: ,", ",2019-02-25,2022-09-29,0.88,0.88,714,-1140,0.06744186046511629,0.799,Good
email-contract,,Latin America,: ,_5,2021-03-26,2024-06-22,0.82,0.88,2114,-508,0.610077519379845,0.823,Good
"supplierT0000, ",", ",North America,: ,", total{-6",2020-02-05,2024-03-22,0.93,0.86,1258,-600,0.27829457364341087,0.837,Good
_ ,: a,Europe,: ,", ",2020-11-17,2022-09-04,0.87,0.88,1037,-1165,0.19263565891472867,0.806,Good
quality_emails,country_90on_005-.oncontract,Asia Pacific,", ",  ,2020-12-22,2026-01-12,0.82,0.85,540,61,0.0,0.75,Good
contactcontract_.astart__-: ,:00,Europe,ratequalityname,:: ,2021-07-22,2021-12-01,0.93,0.88,748,-1442,0.08062015503875969,0.825,Good
,:00end,Middle East & Africa,,", ",2021-02-03,2023-01-05,0.92,0.8,981,-1042,0.17093023255813952,0.797,Good
namesupplied_952:}_orders:,country_ ,Asia Pacific,00,"p-,_orders_- 000",2021-07-22,2021-12-01,0.93,0.8,3119,-1442,0.9996124031007751,0.885,Excellent
}country8__score_,:SUPtotal,North America,SUP_name2supplier,: ,2020-07-30,2025-07-12,0.92,0.81,540,-123,0.0,0.784,Good
: ,n{-email7_time,North America,SUP. ,:_supplied:9},2021-07-10,2026-01-12,0.86,0.78,734,61,0.07519379844961241,0.75,Good
", ",", ",Latin America,"quality 0, ",5a4: 00l00,2018-12-05,2022-05-30,0.88,0.87,1575,-1262,0.4011627906976744,0.828,Good
: ,: @countrysupplierT00,Asia Pacific,supplieremail,", {",2018-07-05,2025-12-08,0.93,0.77,3098,26,0.9914728682170543,0.872,Excellent
,: ,Asia Pacific,,start{..s,2020-06-12,2022-01-20,0.82,0.84,1019,-1392,0.18565891472868218,0.765,Good
_8} ,", ",Middle East & Africa,:  ,data7,2018-09-08,2022-02-14,0.93,0.8,3115,-1367,0.998062015503876,0.885,Excellent
: ,psupplier_,Middle East & Africa, ,_ ,2018-07-12,2023-01-12,0.88,0.85,664,-1035,0.04806201550387597,0.785,Good
", ",:delivery.,Europe,name 0supplier_,: ,2020-11-21,2024-12-01,0.84,0.77,758,-346,0.08449612403100776,0.736,Good
1 a ,", ",Asia Pacific,29,"score:, ",2018-07-20,2024-02-08,0.82,0.77,1369,-643,0.32131782945736437,0.75,Good
"a, ",country,Asia Pacific,}}-supplied_supplied: ,,2019-02-01,2023-01-20,0.82,0.81,654,-1027,0.044186046511627906,0.738,Good
delivery ,namee,Asia Pacific,: ,", ",2018-05-10,2024-12-03,0.92,0.88,862,-344,0.1248062015503876,0.824,Good
,: ,North America,_on00,: ,2018-09-01,2023-11-01,0.83,0.78,872,-742,0.12868217054263567,0.74,Good
:__supplieddelivery,",oendcontract_i",North America,:: ,"supplier_- 0,1-12",2018-05-10,2026-01-12,0.82,0.87,3116,61,0.9984496124031008,0.858,Excellent
, ,Middle East & Africa,",-orders{8}000T000",_,2021-07-22,2023-12-10,0.93,0.77,1983,-703,0.5593023255813954,0.829,Good
,: ,Europe,-6ratestart ,}_ ,2020-09-18,2024-03-20,0.93,0.82,820,-602,0.10852713178294573,0.804,Good
country,}_id,Asia Pacific,on,1 ,2018-08-03,2025-08-20,0.83,0.84,741,-84,0.07790697674418605,0.759,Good
-n.time,},Europe,: ,quality,2019-03-05,2025-06-01,0.82,0.81,1650,-164,0.43023255813953487,0.777,Good
: ,: total,North America,: ,contract4: ,2021-02-04,2022-09-25,0.86,0.84,873,-1144,0.12906976744186047,0.779,Good
", ",",s8contractend",Asia Pacific,A00: ,on,2018-05-10,2023-08-16,0.88,0.78,3103,-819,0.9934108527131783,0.851,Excellent
: ,: ,Europe,"supplied-2s9_score, {data} ","_-.o1,",2021-05-15,2025-11-10,0.93,0.87,878,-2,0.1310077519379845,0.826,Good
:score,ends ,Middle East & Africa,",T00:_osupplied-time:","-,",2019-08-10,2024-05-12,0.91,0.87,3120,-549,1.0,0.903,Excellent
"score, ",",__deliverysupplier{",Europe,: ,,2018-06-20,2025-05-22,0.87,0.82,3113,-174,0.9972868217054264,0.863,Excellent
 ,",80.{",North America,,:,2019-06-07,2024-12-02,0.93,0.82,3108,-345,0.9953488372093023,0.893,Excellent
contractcontact: start,contractSUP,North America,__sstart,,2019-07-17,2023-05-04,0.91,0.77,906,-923,0.14186046511627906,0.777,Good
", 31, ",supplier4time000}: ,Europe,__start8id ,", @}e00",2019-05-28,2024-01-18,0.88,0.88,1059,-664,0.20116279069767443,0.812,Good
:00,. ,Europe,", ",:email00: ,2021-07-03,2023-07-27,0.83,0.85,1696,-839,0.448062015503876,0.8,Good
00{,2: ,Europe,: ,ssupplied{,2020-07-14,2024-05-01,0.88,0.84,711,-560,0.06627906976744186,0.783,Good
",.",: ,Middle East & Africa,",aa_id: ",,2019-12-03,2024-01-30,0.87,0.83,3114,-652,0.9976744186046511,0.867,Excellent
 ,",entime ",North America,", {",- ,2019-06-12,2024-01-10,0.9,0.88,713,-672,0.06705426356589148,0.809,Good
,", ",North America,", ",",.",2019-05-17,2023-12-03,0.82,0.88,1569,-710,0.3988372093023256,0.802,Good
S_rate: 1ea,data ,Europe,", ",", ",2019-05-20,2024-06-12,0.88,0.83,1986,-518,0.5604651162790698,0.828,Good
: ,:_,Latin America,-2T00: ,":00--,",2019-11-22,2023-01-03,0.82,0.86,752,-1044,0.08217054263565891,0.762,Good
supplier,qualityend,North America,", ",",SUPocontract1_}00. ",2018-07-20,2026-01-12,0.88,0.81,3120,61,1.0,0.864,Excellent
"-, ",: ,Europe,data_.,contract ,2020-05-01,2026-01-12,0.83,0.88,1571,61,0.39961240310077517,0.807,Good
on25a,9{,Europe,l ,,2018-05-10,2024-11-14,0.82,0.86,545,-363,0.001937984496124031,0.754,Good
country,contract_,North America,", ",contact_3_00,2018-06-09,2024-12-09,0.88,0.88,757,-338,0.08410852713178295,0.8,Good
score,,Europe,":00,.",on,2020-07-15,2026-01-12,0.89,0.77,726,61,0.07209302325581396,0.76,Good
",, ",_},Asia Pacific,: 0 ,,2021-07-01,2024-12-10,0.93,0.85,2430,-337,0.7325581395348837,0.878,Excellent
: a,:e: ,Latin America,scountry8e_,region-7,2021-07-22,2023-05-19,0.91,0.87,2118,-908,0.6116279069767442,0.864,Excellent
T00007._1- {, ,North America,: ,4region80 ,2021-07-22,2024-12-01,0.92,0.82,540,-346,0.0,0.788,Good
",",stotalstartend,Europe,:SUP,total2: ,2018-09-25,2022-12-18,0.82,0.86,1991,-1060,0.5624031007751938,0.81,Good
supplier--_,,Europe,", ",qualitysupplier}7,2021-07-22,2024-12-12,0.93,0.84,890,-335,0.13565891472868216,0.815,Good
: ,00,North America,contracta{_,country8country-7,2020-07-20,2024-04-30,0.93,0.77,1017,-561,0.18488372093023256,0.791,Good
_2orders3e7}delivery_,T00:_starto.3,Latin America,on ,", ",2020-05-03,2022-09-12,0.93,0.82,2821,-1157,0.8841085271317829,0.881,Excellent
: ,}-2s,Europe,: 0,supplied,2019-08-11,2024-01-20,0.87,0.87,989,-662,0.17403100775193797,0.8,Good
: ,contract,North America,,", __}-_",2019-07-10,2026-01-12,0.84,0.87,751,61,0.0817829457364341,0.776,Good
region,contract,Europe,supplier: -a,contract_,2020-09-01,2026-01-12,0.83,0.88,2409,61,0.7244186046511628,0.839,Good
", ",country 00,Middle East & Africa,"l002, ",quality_contact,2018-05-10,2024-09-05,0.93,0.86,3120,-433,1.0,0.909,Excellent
region_8,_orders4: ,Europe,__ ,_end,2019-05-12,2024-06-29,0.82,0.81,1984,-501,0.5596899224806201,0.79,Good
".6l7, ",: ,North America,"email,p-","email,region",2019-06-15,2023-01-14,0.93,0.83,2183,-1033,0.6368217054263566,0.861,Excellent
00:ana00,: ,North America,", ",-,2019-07-10,2023-03-05,0.92,0.85,2853,-983,0.8965116279069767,0.89,Excellent
total__oncontractquality_emailemail_,",suppliera7:-2 ",Latin America,", ",_,2021-07-22,2024-06-20,0.84,0.88,650,-510,0.04263565891472868,0.776,Good
: ,", ",Asia Pacific,00:8s,_,2020-07-02,2024-07-01,0.87,0.81,1350,-499,0.313953488372093,0.79,Good
contract, 0end89,Asia Pacific,008 ,contractcountryo,2020-01-05,2023-06-18,0.87,0.88,2111,-878,0.6089147286821706,0.848,Good
rate-_startscore_deliverye,", ",Asia Pacific, ,email00_ 0-delivery,2019-09-10,2026-01-12,0.88,0.79,1512,61,0.3767441860465116,0.794,Good
: ,,North America,:adelivery: ,_ 0supplier-},2018-12-03,2024-12-03,0.93,0.85,574,-344,0.01317829457364341,0.806,Good
 ,: ,Asia Pacific,on ,",,}time00",2019-09-20,2024-10-21,0.91,0.83,614,-387,0.02868217054263566,0.79,Good
contract,",7",North America,,_,2019-07-20,2023-05-05,0.92,0.85,935,-922,0.15310077519379844,0.815,Good
contract_o@supplieds}9l supplier}id,: ,Europe,_,: ,2020-03-12,2024-03-21,0.93,0.77,1251,-601,0.2755813953488372,0.801,Good
",i 0,, ",,North America,SUPendn-,- ,2018-07-03,2025-11-15,0.87,0.79,1325,3,0.30426356589147285,0.781,Good
: ,T00,Asia Pacific,88_}liccountry,: ,2020-07-08,2023-10-14,0.93,0.83,2121,-760,0.6127906976744186,0.858,Excellent
",, ",", ",Europe,": country ,_}T00email2e. _4",,2018-07-05,2025-07-18,0.93,0.87,803,-117,0.10193798449612403,0.823,Good
"contract_total00,4","_, {SUPid",Europe,on_ratesupplier:: {,1,2019-07-30,2024-04-12,0.84,0.88,1240,-579,0.2713178294573643,0.799,Good
T00_score,s6supplied00,Latin America,", ",data,2019-02-01,2024-05-06,0.92,0.87,1338,-555,0.30930232558139537,0.839,Good
_0p,"supplier.:contract}.001_9}, ",North America,supplier_ ,supplier ,2018-05-20,2024-09-01,0.87,0.85,744,-437,0.07906976744186046,0.783,Good
score_T00name7_scores.,contract: ,Europe,,: ,2021-06-05,2025-04-12,0.82,0.88,734,-214,0.07519379844961241,0.77,Good
contract0a,000,Asia Pacific,{srate,{_8iregion1,2018-05-10,2026-01-12,0.83,0.86,2111,61,0.6089147286821706,0.82,Good
7}{,",  0",Latin America,l00.,:nameend,2019-02-19,2021-12-01,0.93,0.77,2113,-1442,0.6096899224806202,0.834,Good
9end1,", ",Europe,: _00,,2018-05-10,2021-12-01,0.91,0.86,3113,-1442,0.9972868217054264,0.899,Excellent
supplier ,on0-12supplier 0 ,Latin America,202,", ",2018-10-01,2025-04-05,0.92,0.77,725,-221,0.07170542635658915,0.775,Good
contract, time.:-4quality_,Asia Pacific,:4,4,2018-07-20,2024-05-17,0.82,0.79,744,-544,0.07906976744186046,0.734,Good
on_orderstime_supplied,.-onn1_countryT00: ,Asia Pacific,data 4.s,: {S,2018-07-29,2022-05-12,0.93,0.86,654,-1280,0.044186046511627906,0.813,Good
:,:00 delivery,North America,_,",id",2020-07-03,2022-12-01,0.93,0.81,658,-1077,0.04573643410852713,0.794,Good
supplier ,,Europe,, ,2021-05-21,2024-09-30,0.91,0.86,842,-408,0.11705426356589148,0.811,Good
", {",_ ,Asia Pacific,on: ,", ",2018-05-10,2026-01-12,0.93,0.8,2108,61,0.6077519379844961,0.846,Good
contact: ,: ,North America,", ",: ,2021-06-02,2024-12-05,0.86,0.81,717,-342,0.0686046511627907,0.761,Good
"score 8,_id9end: ",8-,Europe,: ,,2018-07-01,2024-07-05,0.82,0.83,936,-495,0.15348837209302327,0.757,Good
quality ,total00,Europe,":country-score637,",: ,2018-07-22,2024-09-12,0.82,0.85,1014,-426,0.18372093023255814,0.768,Good
quality ,"8T00:., ",Asia Pacific,: ,__ 9,2021-02-05,2023-04-12,0.87,0.83,1252,-945,0.27596899224806204,0.795,Good
", ",: ,North America, ,"one02n 0,00",2019-06-01,2024-11-12,0.82,0.88,1899,-365,0.5267441860465116,0.815,Good
", _5",7-contract: 0supplier,North America,: ,:-@T00:.on,2020-05-12,2025-10-04,0.82,0.87,3116,-39,0.9984496124031008,0.858,Excellent
: ,"2:,",Asia Pacific,total,: ,2018-09-01,2024-04-12,0.88,0.88,765,-579,0.0872093023255814,0.801,Good
 00000-.-,", ",Middle East & Africa,"_ 0}},_ ",: total_,2019-07-23,2026-01-12,0.93,0.77,3114,61,0.9976744186046511,0.873,Excellent
e}@00,0,North America, 0o,:,2020-02-25,2022-01-13,0.88,0.88,2123,-1399,0.6135658914728682,0.853,Excellent
",, ",",_.n5 0_::-, ",Asia Pacific,: ,_,2019-03-20,2022-11-14,0.82,0.86,1514,-1094,0.37751937984496126,0.792,Good
"0, ",",i@.supplied ",North America,"}, ",: ,2021-07-22,2022-12-05,0.89,0.77,3120,-1073,1.0,0.853,Excellent
_ ,_supplied_:,North America,:,:start,2019-06-05,2022-12-20,0.82,0.77,548,-1058,0.0031007751937984496,0.718,Good
supplier_., 0{,Europe,. 0 ,email ,2019-12-20,2023-03-13,0.83,0.88,1569,-975,0.3988372093023256,0.807,Good
: ,-nameend,Asia Pacific,: ,: ,2020-07-15,2024-09-12,0.83,0.88,1452,-426,0.35348837209302325,0.802,Good
: 8l_email-8,contract_ ,Europe,", ",.,2021-07-10,2023-01-18,0.93,0.83,2101,-1029,0.6050387596899225,0.858,Excellent
", ",country,Latin America,_00,7_,2018-10-10,2024-03-01,0.83,0.81,2117,-621,0.6112403100775193,0.8,Good
8-,: ,North America,countryquality_orderscontract}_score,:.88,2019-01-05,2025-01-12,0.82,0.84,549,-304,0.0034883720930232558,0.746,Good
quality-45orders_send,}end ,Middle East & Africa,8{,total-00,2018-05-10,2022-06-12,0.86,0.78,1240,-1249,0.2713178294573643,0.769,Good
: ,1_name_9timeon__start:,Europe,S}o,: ,2019-01-10,2025-01-22,0.83,0.85,1885,-294,0.5213178294573644,0.807,Good
country,SUPn{,North America,"., ",: ,2018-05-10,2023-09-14,0.93,0.83,1883,-790,0.5205426356589147,0.849,Good
,} ,Europe,:00_SUP-,contract-4T00: ,2019-02-22,2024-01-08,0.82,0.81,1284,-674,0.28837209302325584,0.763,Good
: ,:: ,Asia Pacific,: ,8 500,2020-06-29,2024-07-11,0.93,0.78,1849,-489,0.5073643410852713,0.828,Good
email,data,Middle East & Africa,: ,__time___,2019-09-05,2024-09-01,0.87,0.79,1240,-437,0.2713178294573643,0.778,Good
on: ,p{ 0_,North America,: ,,2020-12-22,2022-03-29,0.93,0.82,655,-1324,0.044573643410852716,0.797,Good
",_contact:00_9:,e:_",total_end80,Asia Pacific,: ,}_contact5contact_,2020-02-01,2025-01-14,0.9,0.85,2398,-302,0.7201550387596899,0.862,Excellent
: 000o ,emailT00:00son3,North America,"-SUP_8T00contract, ",country8_country,2020-12-22,2025-03-05,0.88,0.88,1381,-252,0.32596899224806203,0.825,Good
: ,e,Latin America,name-: ,-,2021-07-22,2024-08-12,0.93,0.88,1871,-457,0.515891472868217,0.869,Excellent
"one, ",:email ,Latin America,00: ,", ",2020-02-22,2022-11-12,0.93,0.85,1022,-1096,0.1868217054263566,0.824,Good
