supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end
regionl,"supplier, :email7ssupplied",Europe,8_}contact_email,:contract ,2018-07-05,2021-12-01,0.92,0.88,1297,-1442
", ",:start_8 0,Europe,Astart7supplier_1s,", ",2021-06-29,2021-12-01,0.89,0.86,1551,-1442
:countryquality8a{,: ,Europe,contract_,,2020-11-01,2021-12-01,0.87,0.88,1273,-1442
.email,-: ,Asia Pacific,,country,2018-06-22,2021-12-01,0.89,0.77,872,-1442
"-,",s ,Europe, 0.{,", ",2018-05-10,2021-12-01,0.89,0.85,1259,-1442
: ,: ,Europe,0,}}_-name,2020-07-10,2021-12-01,0.87,0.81,1598,-1442
T00: ,", ",Middle East & Africa,202}es: ,contract_delivery6 ,2020-02-01,2021-12-01,0.89,0.87,2104,-1442
:,"supplier_4contact,-id",Latin America,:_qualityname 0,contact@startid5total1delivery,2019-03-17,2021-12-01,0.86,0.77,1598,-1442
region:009,: ,Europe,contract_end,"00, ",2018-09-02,2021-12-01,0.82,0.88,1426,-1442
", ",: ,Latin America,on ,contacttimecontact 0,2020-06-01,2021-12-01,0.93,0.87,1902,-1442
00delivery: ,: ,North America,country00,,2019-01-17,2021-12-01,0.93,0.88,1266,-1442
supplied ,: ,Europe,: ,",:",2020-07-01,2021-12-01,0.82,0.88,1005,-1442
scoren ,"rate: s---.mtimeorders@rate-,1",North America,supplier,s ,2019-05-22,2021-12-01,0.82,0.85,1245,-1442
": 029countryend-:08,-deliverycontact_",", ",Europe,0country_},:@{,2018-08-04,2021-12-01,0.93,0.84,602,-1442
: ,",005contract_ordersorders 01score",North America,e-00T0000total_,supplier_0,2020-12-30,2021-12-02,0.93,0.85,2423,-1441
8_,: ,North America,",supplied",,2020-03-21,2021-12-02,0.88,0.82,554,-1441
e ,s ,Europe,", ",":, ",2020-02-02,2021-12-02,0.93,0.88,1050,-1441
ldelivery00aT00_scoreid:0000,naorders,Europe,data,quality:_ 0.9 0,2020-05-08,2021-12-02,0.93,0.86,1276,-1441
supplier_email_supplier:_, ,North America,", ",{0,2019-07-05,2021-12-02,0.82,0.8,2853,-1441
,country_,Latin America,total 0name,", ",2021-07-22,2021-12-02,0.93,0.88,2827,-1441
delivery, ,Latin America,contract_ratecontact__rate:,qualityn09a0,2019-08-03,2021-12-03,0.88,0.85,1472,-1440
"1a,_ ",p.T00}9p,Middle East & Africa,: ,data ,2020-07-05,2021-12-03,0.93,0.77,658,-1440
},"countrytime,,region ",Asia Pacific,"quality 0, ",: ,2018-05-10,2021-12-03,0.91,0.88,2430,-1440
quality_-,,Asia Pacific,ido_score8} ,country-,2018-12-20,2021-12-03,0.86,0.82,3114,-1440
:4name8.,,Middle East & Africa,contact , ,2020-05-22,2021-12-03,0.85,0.88,668,-1440
-_,"SUP,9 ",Europe, 0-.on ,: ,2020-04-30,2021-12-03,0.82,0.86,1346,-1440
:country ,: 0 ,Europe,"p, ",email,2021-03-08,2021-12-03,0.87,0.88,970,-1440
", ",",00",Middle East & Africa,: ,00 ,2018-08-09,2021-12-03,0.87,0.81,825,-1440
.supplier_on,supplier_-_8a4 094 ,North America,T00:end-, ,2020-05-10,2021-12-03,0.93,0.82,2808,-1440
1supplied ,"supplierdelivery-,0",Asia Pacific,", ",: ,2020-12-22,2021-12-03,0.93,0.87,672,-1440
: on8,-0:82s::00,Latin America,: ,_00,2018-05-10,2021-12-03,0.87,0.83,868,-1440
end:: , ,Asia Pacific,,", ",2019-07-21,2021-12-04,0.93,0.88,540,-1439
T00,",_-}.9800name",Europe,": .o, ",",_",2019-12-30,2021-12-04,0.93,0.87,1084,-1439
::}time __ {, ,Europe, ,score: ,2020-02-29,2021-12-04,0.82,0.77,887,-1439
supplier_T00SUPsupplier ,es}id,Asia Pacific,-1contract_--l5isupplier 00,17  0startdata,2021-04-30,2021-12-04,0.93,0.77,2909,-1439
: ,supplier__,Europe,. ,}-{2,2020-12-22,2021-12-05,0.82,0.85,656,-1438
":}ratecountryonid_,-,:contract",: ,Europe,8contact@ 74 , ,2020-07-08,2021-12-05,0.93,0.86,755,-1438
ssupplier,quality5 quality: ,North America,",, ",start,2019-12-15,2021-12-05,0.93,0.77,3118,-1438
}rate,qualityT00delivery8ordersidtimecontact00l ,Asia Pacific,", ",", ",2021-03-01,2021-12-05,0.83,0.88,870,-1438
": -,",: ,North America,5on,: ,2020-07-01,2021-12-05,0.89,0.86,757,-1438
end,,Latin America,contract ,"202,8 ",2018-09-14,2021-12-05,0.88,0.77,2179,-1438
quality00100 ,,Latin America,: ,,2020-07-22,2021-12-05,0.93,0.82,715,-1438
region,:region@--188,Europe,total9-,on2orderss-01_a: ,2021-07-22,2021-12-05,0.82,0.86,696,-1438
,onsupplied{,Middle East & Africa, ,-9_1s,2020-01-05,2021-12-05,0.87,0.82,897,-1438
SUP._orders__time_00on-2orders_.1deliveryidtotal6_,on,Europe,@,contact07_,2019-12-22,2021-12-05,0.82,0.86,3081,-1438
",o 4",", ",Asia Pacific,:5.8 ,", :",2021-02-10,2021-12-05,0.82,0.81,2113,-1438
:quality,contact,Latin America,: {id_: _,name,2019-07-15,2021-12-05,0.83,0.86,3105,-1438
,nend1la__scorestart{,Middle East & Africa,SUPT00s 0name,", ",2020-11-15,2021-12-05,0.85,0.8,551,-1438
 ,total,Europe,: ,"A,65",2019-02-17,2021-12-05,0.93,0.78,650,-1438
0,ratetotal_,North America,:delivery ,", 00",2019-07-26,2021-12-05,0.9,0.82,1321,-1438
:: ,_country,Asia Pacific,", ",on}country,2018-05-10,2021-12-05,0.93,0.83,2324,-1438
: , ,North America,,contactemail_,2019-06-30,2021-12-05,0.86,0.77,1117,-1438
on,"on, ",Latin America,on_ 00: ,score,2018-09-01,2021-12-06,0.93,0.77,2879,-1437
", ",contract_email,North America,: ,", ",2020-08-10,2021-12-06,0.93,0.85,540,-1437
_name{,contract ,North America,",-n{ ",l ,2018-05-10,2021-12-06,0.93,0.8,2115,-1437
,.00,Asia Pacific,:00,:_ ,2021-07-22,2021-12-07,0.82,0.84,1868,-1436
"}, ",sdelivery,Asia Pacific,S_name,s{_-T00{.quality,2018-05-20,2021-12-07,0.92,0.77,1478,-1436
_end.,supplier: 1,Latin America,p,-o300,2018-05-10,2021-12-07,0.92,0.88,711,-1436
"supplier-on, ",:_ ,North America,dataname,data{}id,2019-11-18,2021-12-07,0.85,0.85,970,-1436
.- ,: ,North America,",_orders_delivery",-}9emails{,2020-02-01,2021-12-07,0.83,0.88,907,-1436
",contracttime_rate: ",S00 ,Asia Pacific,__7,{s}}-T00la ,2019-07-21,2021-12-07,0.82,0.83,3120,-1436
",00",: {contract},Asia Pacific,enddelivery,", ",2021-06-02,2021-12-08,0.93,0.77,2411,-1435
,:name,North America,supplier.ordersid}_contract,", ",2019-06-03,2021-12-08,0.82,0.8,862,-1435
_supplied:00,}2 ,Europe,", ",: {:_,2018-05-10,2021-12-08,0.86,0.85,1344,-1435
 ,: ,Europe,", -3T00 0: {",-time ,2019-02-04,2021-12-08,0.82,0.84,1802,-1435
",countrya_ocontract8----n0", ,Europe,: ,on-0000end2,2018-06-12,2021-12-08,0.92,0.8,991,-1435
: ,", 3:",North America,: ,country,2019-07-18,2021-12-08,0.82,0.83,2961,-1435
p--supplier-country1o1200,"_, ",Europe,qualitySUP,._9 ,2019-02-14,2021-12-09,0.93,0.83,3112,-1434
", ",", ",Latin America,: 0. ,__8-80-id,2020-09-25,2021-12-09,0.91,0.77,1497,-1434
"quality-,-e0T00",{email,Europe,oname,{00T00email,2020-02-22,2021-12-09,0.82,0.88,543,-1434
":, ",,North America,,: ,2018-07-07,2021-12-09,0.91,0.87,899,-1434
", ",":00., ",Asia Pacific,: :end_deliverytotal,:contact_name,2021-05-22,2021-12-10,0.82,0.88,2112,-1433
: ,", on_supplier}__00-e21supplied,_ ",North America,"{p7-totalcontract,", ,2021-07-22,2021-12-10,0.92,0.88,985,-1433
contractordersid_-9,: ,North America,00:_l,:id:5delivery: ,2020-09-10,2021-12-10,0.82,0.81,1313,-1433
name}_l001data,:,Europe,: 00,,2021-07-15,2021-12-10,0.93,0.86,3120,-1433
"_SUP1_, ",id 0,North America,: 0total__5,", 0supplier-_",2020-05-13,2021-12-11,0.83,0.88,2113,-1432
:supplied,_:eeT00900_,Europe,: ,supplied,2021-01-18,2021-12-11,0.93,0.85,1013,-1432
score{SUP-}suppliersupplier8scoreid._ ,: ,Europe,}quality,: ,2019-06-30,2021-12-11,0.82,0.88,3113,-1432
contract_rate,:: ,Europe,4@@. ,contract}:contract,2018-05-10,2021-12-11,0.82,0.84,746,-1432
0{,,Europe,_ 0_,202 ,2020-01-15,2021-12-11,0.82,0.88,1248,-1432
suppliercontactoend000000a571_-,,Asia Pacific,totalquality, {,2019-12-01,2021-12-11,0.82,0.88,1269,-1432
.-12_,region,North America,2 ,T00 ,2020-07-20,2021-12-12,0.89,0.77,715,-1431
 ,: ,North America,5,}score..rate,2020-08-05,2021-12-12,0.93,0.88,1564,-1431
on,contract ,North America,supplier00end,: ,2021-07-22,2021-12-12,0.92,0.87,1891,-1431
p-T00quality,supplier_no,Europe,contract_time,: ,2021-07-22,2021-12-12,0.83,0.81,2114,-1431
supplier {,._ ,Asia Pacific,"., ",region ,2019-05-30,2021-12-12,0.89,0.88,540,-1431
,: ,North America,: ,- -country,2019-11-03,2021-12-12,0.86,0.86,860,-1431
", ",80sscore,North America,",: ",", ",2021-07-22,2021-12-12,0.91,0.85,1365,-1431
quality,contact_,North America, ,onsupplier_,2019-04-01,2021-12-12,0.86,0.88,2110,-1431
: ,{@ {,North America,90,"contact, ",2019-07-05,2021-12-12,0.84,0.88,919,-1431
"-,:start",0 ,North America,o-: ,: ,2020-05-30,2021-12-12,0.92,0.88,1252,-1431
country_region,a-,Asia Pacific,":contract 600-e__time}}, ",: ,2020-02-20,2021-12-12,0.92,0.77,2121,-1431
1a_@, ,North America,e,:estart,2020-12-20,2021-12-12,0.93,0.88,3116,-1431
-country,",95: ",Latin America,,:_name00: ,2019-05-15,2021-12-12,0.93,0.88,545,-1431
: ,,Latin America,quality_00{p,,2018-09-12,2021-12-12,0.93,0.8,3120,-1431
supplierorderssupplier: ,_ {,Asia Pacific,: ,--3:data.T00.,2019-09-20,2021-12-12,0.82,0.86,999,-1431
}4n 0rateo2supplied,contract_}_ ,Europe,: , ,2021-07-22,2021-12-12,0.82,0.88,1005,-1431
", ",_oregion,Asia Pacific,":l, ",supplieron: ,2021-05-21,2021-12-12,0.82,0.88,1876,-1431
" 0, ","total, ",Asia Pacific,,1.total_countrysupplier,2018-08-20,2021-12-12,0.93,0.82,887,-1431
00:: -6SUP ,_time_,Middle East & Africa,"e,.",:region ,2020-01-08,2021-12-12,0.86,0.87,2889,-1431
,",,_",North America,}_: ,: ,2019-11-12,2021-12-12,0.93,0.88,1983,-1431
00deliveryscore2,: ,North America,score100,supplier -_17,2018-09-23,2021-12-12,0.92,0.86,884,-1431
a0-: ,supplier ,North America,: ,":,00: .quality-_",2018-07-12,2021-12-12,0.93,0.77,672,-1431
: ,SUP_on,Latin America,"n_,{",: ,2018-07-01,2021-12-12,0.89,0.81,3106,-1431
:rate 0-0 2l}5on:orders 0 ,", ",Asia Pacific,,: ,2019-01-22,2021-12-12,0.87,0.85,2568,-1431
contact,"_orders}-supplier,.,T00 ",Middle East & Africa,contact,00 ,2018-12-18,2021-12-12,0.93,0.82,540,-1431
l_ ,_ ,Asia Pacific,": :00, ", _aitimea8timeonregion-,2020-06-22,2021-12-12,0.93,0.83,1557,-1431
: ,total_ratecontract_endend,Europe,_supplied}8_5a,"on_5, ",2019-07-22,2021-12-12,0.86,0.82,1243,-1431
:: ,"_00,score",North America,00,- ,2021-06-30,2021-12-12,0.82,0.85,718,-1431
}_emailname_orderso ,"_name, ",North America,:sscore,,2019-12-10,2021-12-12,0.9,0.79,1049,-1431
-__,",oonic",Asia Pacific,,:@-,2018-07-18,2021-12-12,0.84,0.86,1337,-1431
contract,:,Europe,-: ,} ,2021-04-20,2021-12-12,0.82,0.83,1942,-1431
country@-00,rate_name ,North America,total eT00,", ",2020-07-14,2021-12-12,0.87,0.81,703,-1431
"-:, ",",_total",Europe,2} ,country@deliverye_supplieddata,2020-01-05,2021-12-12,0.84,0.88,928,-1431
"total: 09_} 0T00-, ", ,North America,{,: ,2021-07-22,2021-12-12,0.92,0.82,1004,-1431
T00T00:T00: {,p00on1: ,Europe,_contract_ 0_}:1supplied,lend,2018-05-10,2021-12-13,0.82,0.77,1330,-1430
: ,"e,name",Europe,: ,.7.998region ,2020-12-01,2021-12-13,0.88,0.82,836,-1430
:quality,", ",Asia Pacific,,1region,2019-07-12,2021-12-13,0.82,0.86,540,-1430
: ,",00end_",North America,2:0, ,2020-01-01,2021-12-13,0.88,0.77,2109,-1430
total_500,00:00,Europe,"contract_T0023o,a",: ,2021-04-28,2021-12-13,0.83,0.81,3120,-1430
supplier ,:,Asia Pacific,__orders::  , 0stime001:00,2021-07-22,2021-12-13,0.93,0.88,711,-1430
{,: 0,North America,end-1, 07800008data0,2019-07-05,2021-12-14,0.88,0.88,2273,-1429
contract,: ,Europe,-{SUP,"8, ",2021-02-10,2021-12-14,0.88,0.78,758,-1429
0,T00:001id: ,Asia Pacific,start ,"}, ",2020-02-03,2021-12-14,0.83,0.88,1352,-1429
", .",", _a",Europe,,", ",2018-09-21,2021-12-14,0.93,0.86,659,-1429
: {,91email-_ {1_contact,Europe,on ,.4 02188400,2019-06-02,2021-12-14,0.93,0.87,713,-1429
 ,",  0scorei,_-supplied.8",Europe,",name",:supplier _supplied,2019-09-22,2021-12-14,0.83,0.85,2359,-1429
8-,:00,Europe,"total@l,end{,_8",: ,2018-05-10,2021-12-14,0.89,0.77,2111,-1429
quality_delivery,:,North America,-9,.oordersid,2020-06-16,2021-12-14,0.82,0.86,650,-1429
: ,_,North America,":delivery{},, onl",}_. ,2019-06-18,2021-12-14,0.88,0.85,3120,-1429
: ,SUP,Latin America,: , ,2020-06-06,2021-12-14,0.86,0.81,1302,-1429
" 00_time2,00.suppliedtime_",_,Asia Pacific,:,",002",2019-11-22,2021-12-14,0.89,0.77,549,-1429
", ",contract00: ,Europe,",5:ordersemailcontracton,, ",- ,2021-07-01,2021-12-14,0.93,0.84,1442,-1429
".score, ",:00,Europe, ,,2018-07-03,2021-12-14,0.82,0.8,1248,-1429
"contract,on",8contract_deliveryquality__00,Latin America,:.-001on,country,2018-06-01,2021-12-14,0.93,0.88,2312,-1429
contractend,",contract ",Europe,supplier {:00,", :, id,8delivery",2019-07-12,2021-12-15,0.82,0.84,1953,-1428
:start,,Middle East & Africa,_{,: ,2019-01-18,2021-12-15,0.87,0.81,1336,-1428
 0_5,: ,Europe,.__} ,,2020-07-20,2021-12-15,0.93,0.84,1250,-1428
",",: ,Europe,: ,: ,2019-04-19,2021-12-15,0.93,0.81,1566,-1428
:97s.{,supplier_ ,Europe,}lsupplier_,supplier_time{,2021-04-12,2021-12-15,0.83,0.88,3100,-1428
_,: ,Latin America,,", ,o",2019-09-22,2021-12-15,0.93,0.85,3116,-1428
_ 000_,.a,Europe,"p, ",:00,2020-08-18,2021-12-15,0.9,0.88,3120,-1428
supplier ,email_supplieda_00,Europe,region ,:_contract_8SUPtotal,2020-12-06,2021-12-16,0.86,0.87,1009,-1427
: ,contract_ ,Europe,",,aend", ,2019-07-25,2021-12-16,0.86,0.83,1021,-1427
 ,"country, ",Middle East & Africa,: ,country_00start,2020-07-02,2021-12-16,0.86,0.77,540,-1427
on_SUP7,datap_,Europe,quality_3__ 0_s,: ,2021-02-22,2021-12-16,0.87,0.84,1507,-1427
: ,datarate0,Asia Pacific,email{ ,p,2018-07-14,2021-12-16,0.82,0.83,865,-1427
A: ,T00onon,North America,,contactemail,2019-07-17,2021-12-16,0.92,0.8,990,-1427
-89eT00l,: ,North America,", ",",supplied 0.973total",2019-07-05,2021-12-17,0.89,0.85,1015,-1426
", ",: },North America,_1: ,quality_delivery,2019-06-07,2021-12-17,0.9,0.77,3071,-1426
", ",", ",Middle East & Africa,"_on18.9, ",}9,2018-12-22,2021-12-17,0.88,0.83,752,-1426
email: ,"00,-",Europe,_,5_5,2018-10-22,2021-12-17,0.92,0.82,800,-1426
.88,", ",Asia Pacific,:: ,-contract0T00-SUPtotals_end,2018-11-08,2021-12-17,0.91,0.84,1986,-1426
00- ,",",North America,:00: ,:-a,2018-11-05,2021-12-17,0.83,0.86,1312,-1426
"{, ", ,Europe,_supplier@____SUP,-_delivery_score.,2020-11-03,2021-12-17,0.85,0.88,3112,-1426
"supplierT00: 0, ",00,Latin America,2024{_.,: ,2019-03-01,2021-12-17,0.88,0.85,3116,-1426
,", ",Europe,", ",: ,2019-09-22,2021-12-18,0.93,0.88,540,-1425
: ,", _",Europe,:a@,}_,2019-02-10,2021-12-18,0.88,0.85,1289,-1425
:rate@9,::00 ,Europe,:00,: ,2021-02-22,2021-12-18,0.93,0.84,2107,-1425
- 1,:.-ona ,Asia Pacific,202email ,"-, ",2020-08-15,2021-12-18,0.88,0.83,610,-1425
",contact@supplied",", ",North America,name,supplier_ ,2019-04-15,2021-12-18,0.93,0.86,1657,-1425
on,,Europe,end7,supplied-,2019-11-22,2021-12-18,0.82,0.83,952,-1425
: ,_ ,Europe,", ",: ,2019-07-18,2021-12-19,0.92,0.8,880,-1424
a,,North America,data.,:00,2021-07-22,2021-12-20,0.86,0.81,3114,-1423
country1{orders: 07,A,North America,start{0000,: ,2021-07-22,2021-12-20,0.93,0.85,1257,-1423
: ,",8- ",North America,,: ,2019-11-18,2021-12-20,0.89,0.87,1261,-1423
: ,,Asia Pacific,"total-_.71:0_,",_{,2018-05-10,2021-12-20,0.89,0.86,781,-1423
", ",", ",Latin America,end__1e,", 0",2018-12-29,2021-12-20,0.85,0.85,3103,-1423
contactnameorderssuppliersupplier ,", lstart2email",North America,202_suppliedid 000.79,::-_,2020-12-22,2021-12-20,0.86,0.81,2079,-1423
: ,8,Latin America,1:00:-_s_on5time00_id,oemail_id_delivery,2021-06-21,2021-12-20,0.93,0.88,2849,-1423
,country,Europe, 0 ,:,2018-05-10,2021-12-20,0.82,0.77,1619,-1423
name00,_}0,Middle East & Africa,,:_ ,2019-07-12,2021-12-20,0.84,0.88,2422,-1423
i ,suppliedl- ,North America,", ",contact__-supplier,2018-05-10,2021-12-20,0.93,0.77,1308,-1423
{-,_score_9email,Asia Pacific,{7o-,202 ,2021-01-29,2021-12-20,0.86,0.87,1308,-1423
contact3,: ,Europe, 07_8_,00o,2018-07-18,2021-12-20,0.93,0.85,752,-1423
:00,@,North America,start,:{,2021-07-22,2021-12-20,0.9,0.88,1167,-1423
:}score,l ,Latin America,_ ,: ,2018-11-03,2021-12-20,0.82,0.78,1213,-1423
contactsupplier}}-id..9_5a.}_9,4send,North America,SUP}- 0-p,: ,2018-12-14,2021-12-20,0.82,0.88,1515,-1423
_supplier: ,: ,North America,:: ,,2020-04-30,2021-12-20,0.84,0.83,2359,-1423
: ,,Europe,supplier7-time:00: ,7:_00,2021-07-02,2021-12-20,0.93,0.87,646,-1423
{_ ,supplied,North America,__ 0score1,quality,2018-05-10,2021-12-21,0.83,0.78,923,-1422
:-region,.score_ ,Latin America,: ,__: 28 0supplierl003:1_8@s,2018-05-10,2021-12-21,0.84,0.86,947,-1422
-8@supplied,",suppliedstart",North America,::00: ,: ,2020-01-01,2021-12-21,0.88,0.78,870,-1422
n,_: ,North America,_a:qualitya ,", ",2018-06-08,2021-12-21,0.87,0.86,972,-1422
s,: ,North America,: , 0startdeliverye. 8,2021-07-22,2021-12-21,0.9,0.82,3065,-1422
_on,"_slidid,i",North America,",_rate",: : {,2020-11-29,2021-12-21,0.83,0.88,542,-1422
_time{: ,,North America,supplier_totaldelivery00,: ,2018-12-20,2021-12-21,0.82,0.88,540,-1422
contract--:_ ,contract_scoreend,Asia Pacific,: ,_ ,2020-12-05,2021-12-21,0.88,0.88,852,-1422
: -timeT00.ic,__,Latin America,", ",:SUP00- ,2019-02-22,2021-12-21,0.87,0.85,2935,-1422
: {,_end,Europe,T003 , ,2019-07-10,2021-12-21,0.9,0.88,1443,-1422
s ,countryn8aid_l,North America,: ,@{supplied,2018-10-22,2021-12-21,0.84,0.87,542,-1422
total,.,Asia Pacific,: ,contract_ 0,2021-06-22,2021-12-21,0.92,0.83,540,-1422
", ",n8_orders 1aemail,Europe,"},.8,supplied5@on,score",,2020-12-18,2021-12-21,0.93,0.84,925,-1422
", ",: ,Europe,__.,supplier:,2019-11-05,2021-12-21,0.87,0.88,3105,-1422
,: 0contract.time2,North America,", {",@on,2018-12-14,2021-12-21,0.93,0.88,1438,-1422
", {",suppliera,Middle East & Africa,: ,contractdelivery@contract ,2019-09-22,2021-12-21,0.92,0.88,2172,-1422
region ,: ,Asia Pacific,", ",: ,2020-07-10,2021-12-21,0.92,0.87,2100,-1422
,7email1_deliverys,Europe,{country,Adelivery@-: ,2021-02-01,2021-12-22,0.89,0.85,953,-1421
,,Asia Pacific,00 ,: ,2020-07-05,2021-12-22,0.87,0.81,653,-1421
 ,-00T00 ,Latin America,contact,: ,2021-07-22,2021-12-22,0.93,0.88,658,-1421
: ,00T00{,North America,  0s9end ,contract,2020-06-18,2021-12-22,0.87,0.88,3117,-1421
,quality_contact_:.n_id3e,Asia Pacific,: {, ,2018-11-10,2021-12-22,0.93,0.85,1015,-1421
 ,9 0_delivery{l-,Latin America,: ,0,2019-01-01,2021-12-22,0.9,0.85,661,-1421
": ,00{00total7sa",:00s_8,Latin America,e_,,2020-11-10,2021-12-22,0.89,0.85,1483,-1421
supplier: ,",a4 ",North America,",o",",,, ",2018-10-01,2021-12-22,0.82,0.88,1335,-1421
: 8 8 ,",.8 ",North America,: ,supplier_}:: ,2021-05-14,2021-12-22,0.92,0.86,1794,-1421
: ,_,North America,:.}score77suppliersupplied T00,-_-delivery__ondata9data{}04-time7-ide,2019-12-14,2021-12-23,0.93,0.83,3109,-1420
", ",contact,Europe,: country1_:email,contractT00T0000: ,2018-06-01,2021-12-24,0.93,0.88,2122,-1419
", ",: ,North America,_start ,: ,2019-06-10,2021-12-25,0.82,0.83,979,-1418
: ,: ,Asia Pacific,", ","n00supplier1,, ",2021-07-22,2021-12-26,0.86,0.87,2873,-1417
SUPtime: -supplierstartcountry4contract.{emaile_,: ,Asia Pacific, ,region_,2018-07-08,2021-12-27,0.93,0.81,1082,-1416
", {4_name",name00country,Asia Pacific,: 0 ,"_ on,",2019-03-25,2021-12-27,0.85,0.87,1898,-1416
: _8_,4{,North America,", ",:00_,2021-07-22,2021-12-27,0.93,0.88,810,-1416
_,":, ",Europe,"1contact, ","-total-supplier, ",2021-07-03,2021-12-27,0.82,0.88,1322,-1416
__: ,T00:on,Europe,: ,",-_country}-timetime ",2018-08-22,2021-12-28,0.82,0.88,2219,-1415
:: {,1 ,North America,"contract_00_,_email_.",__ ,2019-07-25,2021-12-28,0.83,0.81,3106,-1415
-,SUPSUPsupplier.i002_:ice 0T00_ ,North America,total,:00.97,2019-10-03,2021-12-29,0.89,0.77,1890,-1414
__data{,-- ,Latin America,{, 0,2019-11-14,2021-12-29,0.82,0.87,714,-1414
_-.totall,region ,Europe,data@,score:- ,2021-06-14,2021-12-29,0.9,0.78,926,-1414
contract_8-e_p82-l 3 9,A3a:,Asia Pacific,06{,", ",2018-07-18,2021-12-29,0.93,0.82,3103,-1414
on_ 01country,: ,North America,contract_4003,: {,2020-08-25,2021-12-29,0.83,0.86,807,-1414
-}1osupplied,9,North America,"datacountryT00-semailo00email, ",o,2018-11-03,2021-12-30,0.89,0.82,3110,-1413
s9on,"00, ",North America,", country",contract_i,2020-04-21,2021-12-30,0.84,0.85,2100,-1413
}}}1_: , ,Middle East & Africa,",: ",: ,2021-07-22,2021-12-30,0.93,0.85,1478,-1413
: {,00 ,Europe,:-1: 00i_: 01orders ,5_supplied7p09,2021-07-22,2021-12-30,0.88,0.88,1529,-1413
", ",:2.end.9p -.,Latin America,7-quality,2: ,2019-05-01,2021-12-30,0.85,0.85,2101,-1413
contract_,countrystart,Latin America,on,_n}orders ,2018-06-20,2021-12-30,0.93,0.88,1878,-1413
: ,}contact009i 0start,North America,contracte00contract_00 ,"supplier,00",2019-05-16,2021-12-30,0.88,0.88,1005,-1413
:5SUPscontract,_-end 0.,Latin America,"l@_,8 ",,2019-03-20,2021-12-30,0.88,0.84,1657,-1413
"T00., ",: ,Europe,,: ,2019-06-30,2021-12-30,0.89,0.87,1610,-1413
", ",,Europe,contact-71__:00{,s,2020-07-12,2021-12-31,0.88,0.81,2113,-1412
-time9a8,country@.oporders. ,Middle East & Africa,:00: ,,2019-06-12,2021-12-31,0.93,0.86,1574,-1412
a ,: ,Asia Pacific,,ratetotal:00 ,2020-08-22,2021-12-31,0.93,0.88,3104,-1412
9 acountry,", 0",North America,:delivery n-,", ",2018-05-10,2022-01-01,0.88,0.82,1362,-1411
{_-}_T00contract00,: ,Latin America, ,"delivery_,- 0- ",2019-11-18,2022-01-01,0.93,0.8,1352,-1411
_5l,,North America,: ,,2020-01-01,2022-01-01,0.84,0.88,3116,-1411
 0_ ,supplier ,Middle East & Africa,", ",contract_id,2018-07-21,2022-01-01,0.92,0.77,3120,-1411
:@ ,: ,Asia Pacific,:000000s{7,:: ,2018-05-10,2022-01-01,0.93,0.85,1311,-1411
,",namee-0",North America,",",,2019-05-05,2022-01-01,0.91,0.77,807,-1411
acontactname, 00,Middle East & Africa,_,"-endend_7,",2020-06-12,2022-01-01,0.83,0.87,3120,-1411
:s{,", __data",Latin America,", ",": 0{,",2018-07-14,2022-01-01,0.93,0.84,733,-1411
data_5,"on, ",Middle East & Africa,: , ,2018-07-23,2022-01-01,0.86,0.84,1242,-1411
startcontact,,Asia Pacific,,: contract: ,2018-06-22,2022-01-01,0.89,0.88,2946,-1411
total15_qualityid,5,Middle East & Africa,: ,:: _,2020-07-22,2022-01-01,0.93,0.87,1241,-1411
total_ ,"on, ",North America,",_contract:8, ",score,2019-07-05,2022-01-01,0.88,0.81,1536,-1411
 ,", ",Middle East & Africa,{,_ ,2019-07-23,2022-01-01,0.93,0.87,1013,-1411
supplier 0_ 0: ,supplier_-,Europe,,T00_,2018-09-20,2022-01-01,0.88,0.83,1270,-1411
"1,__startorders8",,North America,nend9.,: ,2019-01-13,2022-01-01,0.88,0.82,658,-1411
total_quality}_1timeorderse_start@,", ",North America,contractT00,"supplied-, ",2019-03-22,2022-01-01,0.93,0.81,1640,-1411
: , ,Europe,contract ,: ,2021-07-22,2022-01-01,0.92,0.8,1020,-1411
contract ,supplier: ,Europe,a80,contacta}00a.9}}deliveryonrate ,2018-12-26,2022-01-01,0.87,0.77,1289,-1411
: ,- 0 5,Europe,supplied_ 0SUP_:start00,", ",2020-05-21,2022-01-01,0.91,0.87,997,-1411
"on,,contract00.: ",: ,Europe,", ",}_scorename_,2020-12-15,2022-01-01,0.93,0.87,1355,-1411
5 send,. ,North America,: ,: ,2018-07-27,2022-01-01,0.93,0.87,2120,-1411
", ","_,00o 0",Asia Pacific,: ,", ",2018-05-10,2022-01-01,0.93,0.8,2115,-1411
: ,",supplied_ratea1: ",North America,", ",", ",2019-01-22,2022-01-01,0.88,0.87,1347,-1411
,8,Middle East & Africa,: ,on ,2018-05-10,2022-01-01,0.91,0.82,3103,-1411
4l,_5: ,Europe,: ,: ,2019-12-26,2022-01-01,0.91,0.86,1938,-1411
:a.7_,s-qualitysordersend}oa,Europe,T00_002 ,,2021-07-22,2022-01-01,0.93,0.85,1354,-1411
", ",22end9: ,Europe,_} 0,__@l,2021-07-22,2022-01-02,0.84,0.82,1366,-1410
