supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied
l__.,"00region_, ",Europe,_lrate__: ,: ,2019-08-01,2026-01-12,0.93,0.77,3105
",00.--",,Middle East & Africa,data 0scoreend,00-5e_email,2018-05-10,2023-01-20,0.93,0.88,3119
quality_endorders.orderssupplier_3,0017: ,North America, ,suppliers_id. 0._time_{,2019-05-22,2025-04-05,0.88,0.88,708
,5supplied,Middle East & Africa,contract_,: ,2020-04-22,2023-04-30,0.83,0.81,869
"contact}47, ",SUPsupplied@}_}_ ,Asia Pacific,", ",qualityquality-SUP--o.orders_rate,2019-07-08,2025-09-29,0.88,0.87,1936
n: ,}n_._orders,Middle East & Africa,-,: ,2018-05-10,2023-12-01,0.86,0.84,2051
91T00,: ,Europe,",contract",}end,2018-07-14,2024-08-10,0.93,0.87,1964
{,202,North America,_,: ,2020-08-14,2024-03-10,0.93,0.88,3117
: ,quality ,Asia Pacific,:-:00-{,@end4supplier8region,2021-07-22,2024-02-29,0.89,0.88,3100
:: ,SUP1_email7_start,Europe,o@o,: n4contract_delivery,2018-07-18,2025-11-30,0.82,0.86,999
{8:oncontracti,", ",Europe, 0,: ,2021-07-19,2021-12-01,0.93,0.78,1252
}e,SUP,Europe,_00-:supplier,: ,2019-02-05,2023-06-01,0.93,0.8,3048
contact,-7,Asia Pacific,",country8 ",00,2021-01-18,2024-01-11,0.86,0.85,1680
"contract182, ",", ",Europe,",l ",supplier_end ,2018-12-30,2026-01-12,0.88,0.87,699
", 00",region-supplied8,Europe,":,: ",name_score.00,2018-07-04,2026-01-12,0.9,0.86,2102
:00}p_supplied: ,,Latin America,2: ,: __orders,2019-08-22,2023-07-21,0.86,0.87,1208
0000 0.,", ",Europe, ,:00,2020-01-17,2023-04-30,0.89,0.85,540
: 0sic-suppliedtime00_id:supplied ,: ,Asia Pacific,"startSUPdelivery-T00, ",", ",2021-07-22,2024-07-21,0.93,0.77,657
SUPquality,,Europe,: ,total:_,2021-07-05,2022-12-18,0.93,0.82,1316
:id ,a_deliveryie,Latin America,,: {,2021-07-22,2022-03-03,0.82,0.81,1549
a,_,Middle East & Africa,: 00e - 0deliveryoorders_:.: ,:00 ,2021-07-01,2024-06-14,0.84,0.78,2775
",@ai.",", ",Europe,2countryo,-orders0 ,2021-03-22,2024-07-11,0.93,0.83,1296
00- ,"_id, 2{",Europe,-en{}-a,__end,2021-07-03,2024-05-07,0.87,0.87,2321
00iorderssupplier,total8region5,Latin America,"_,4", ,2018-07-12,2021-12-01,0.9,0.88,540
00: ,snl: ,North America,_id,ssuppliero{,2018-05-10,2022-04-25,0.88,0.88,659
supplierid_.nsupplier_ 00,:1--n,Asia Pacific,", ",:s,2020-12-04,2024-12-15,0.89,0.84,1567
00icontact_: ,00-__supplied,North America,data,- ,2018-08-22,2022-05-31,0.84,0.88,719
"supplier-name,9-i",_,Europe,": n9rate,",": ,emailon",2019-12-18,2024-06-13,0.89,0.85,880
:_800,", ",Asia Pacific,,countryid: ,2020-12-10,2024-05-04,0.9,0.85,1326
8totalregion:0000n0,emailoe00,Asia Pacific, {{,",supplier ",2019-01-26,2023-07-24,0.93,0.77,3120
: ,", ",Europe,n-,n ,2020-01-30,2021-12-01,0.92,0.86,1555
,",28",Asia Pacific,,aemail,2018-05-10,2022-07-22,0.93,0.84,1571
202-0087.3},contactsupplied__suppliedid00,Asia Pacific,delivery_orders_,}email{,2018-05-10,2026-01-12,0.89,0.81,1240
country,: ,Europe,,00:008,2018-12-03,2021-12-01,0.82,0.87,3102
}:_end.T00: ,T0000:,Latin America,country-supplier4contact},,2021-07-22,2022-09-12,0.82,0.83,1468
-orders ," 0,00: ",North America,1 ,00,2020-04-10,2024-03-26,0.87,0.78,2832
p_00 ,contact__@{_delivery1s:,Asia Pacific,", ",region_,2019-04-04,2023-06-12,0.82,0.82,664
00{, ,Asia Pacific, ,SUP_start0p4:ordersname}a,2018-09-12,2022-08-20,0.93,0.88,1568
-00:_00supplier.T00,.p9a5quality_,Middle East & Africa,"supplied_-,, ",: ,2021-07-22,2024-06-03,0.83,0.86,2115
on,202: ,Latin America,202,4}odelivery}s} ,2020-11-01,2025-06-22,0.82,0.87,1244
",-9: ",-onlrate00_._,Latin America,", ",: ,2018-12-17,2024-05-15,0.93,0.84,2694
A 0id7T00: , ,Europe,": 0, ,, ",:,2018-07-30,2022-12-02,0.86,0.77,1249
,._score,Latin America,8datadata.:00200{ ,_email,2019-07-30,2022-12-18,0.84,0.87,869
: ,s: ,Asia Pacific,on ,supplier ,2019-07-11,2025-01-18,0.91,0.88,3109
,", ",Asia Pacific,_: ,contractscores,2020-11-22,2024-08-28,0.82,0.82,1893
: ,: ,Middle East & Africa,700: ,", ",2020-06-25,2024-05-22,0.89,0.81,627
},"data-supplied4_delivery,a",North America,SUP,"-, ",2019-07-05,2022-03-14,0.89,0.88,3101
", ",",delivery",North America, ,: },2019-08-03,2023-01-31,0.92,0.85,888
: ,: ,Europe,", ",-9on--,2019-11-08,2022-03-14,0.93,0.82,540
.-supplier {T00_supplied1_: is,l_,Latin America,id@,".email,_4, ",2018-05-10,2023-01-21,0.93,0.8,3120
", ",: ,Asia Pacific,1,", ",2020-08-22,2024-12-07,0.82,0.86,540
"id_email_orders_u.o, ",supplier_rateid-: ,North America,regionend7-a,_.onon_rate ,2018-05-10,2024-08-02,0.93,0.77,2123
region_scorequalityname,: ,North America,: , .end :}8_8}ptotal,2019-08-18,2026-01-12,0.86,0.77,659
: ,::_,Europe,@,totals ,2019-09-20,2024-06-21,0.92,0.84,1848
:se,country_: ,Asia Pacific,,:s0008delivery,2019-02-01,2023-12-21,0.82,0.85,1249
} 0id,: ,Europe,startid,start {{sT00orders_,2018-06-02,2024-01-21,0.83,0.77,1316
startend{,"totaln-,2l-e-:time0{_",Europe,00,contract,2019-03-30,2026-01-12,0.84,0.88,2486
region, ,Europe,"-1007, ",: ,2020-09-20,2024-12-30,0.86,0.86,1342
: ,",00supplied._T00i7}",North America,A,: ,2019-07-22,2023-01-22,0.93,0.84,1248
contract__00,: ,North America, _1quality_,5name,2018-08-30,2022-05-05,0.83,0.86,540
supplier4 @,: ,Asia Pacific,8_ ,: 0500:9 ,2020-03-20,2023-02-03,0.85,0.77,1552
:00on_00,:00,Europe,:50,"., ",2019-07-14,2024-03-21,0.93,0.78,3027
,supplier ,Latin America,: 0_00_,supplier3T00,2020-05-18,2024-01-21,0.86,0.77,1222
: , ,Latin America,:on4suppliercontact ,}supplier ,2018-07-05,2025-04-01,0.87,0.81,3102
: ,region_,Latin America,quality,,2019-12-04,2024-12-30,0.9,0.86,1266
contacts, ,Middle East & Africa,: ,"quality,n._end",2019-07-13,2021-12-01,0.92,0.88,1247
", ",SUP_,Europe,onrate:-, ,2018-06-05,2024-01-12,0.82,0.85,641
: ,total,Asia Pacific,":____:8region, -",_endnend__supplied,2018-08-20,2022-11-18,0.93,0.87,669
: , ,Middle East & Africa,: ,supplied,2021-07-21,2024-03-07,0.88,0.8,1970
contract,p_supplier1-email,Europe,: ,_2_,2019-09-18,2024-01-17,0.93,0.85,1246
: ,region_3_,Asia Pacific,:  ,: ,2018-05-10,2025-01-21,0.88,0.82,2560
,_ ,Europe,"supplier3, ",oni{_id:: ,2019-06-26,2023-04-01,0.92,0.83,1349
 ,::{_supplier: ,North America,_,: ,2018-11-04,2025-09-12,0.83,0.8,3120
"supplierscore,",___time,Asia Pacific,: ,:8_ ,2018-05-10,2021-12-01,0.83,0.85,540
rate,SUPnT00supplier: ,Europe,: ,0supplier:} ,2018-05-10,2022-03-25,0.93,0.88,540
", ","{,s ",North America,,"-4, ",2018-12-09,2026-01-12,0.93,0.77,1270
: ,p: ,North America,: ,_ ,2020-01-10,2024-03-14,0.93,0.77,1007
",_total","_,_",North America,: @{: ,:i: ,2018-07-03,2024-12-18,0.92,0.8,988
",time_-4contactraten", ,Europe,region 0_}1_ 0atime,supplier: ,2018-12-14,2023-09-14,0.92,0.81,1897
:9_,,North America,",end,_ ",", ",2018-08-22,2023-03-18,0.86,0.77,878
"_start,_suppliedscore",quality_,North America,: .5} ,contactn 0-,2018-08-10,2024-06-08,0.92,0.85,3120
ratescore00,_ ,Europe,": 0end, ",contactsupplier_timetime,2020-12-22,2026-01-12,0.83,0.88,1950
:-8n_start5rateooemaill{9,totalon,Middle East & Africa,:: ,: ,2019-12-01,2022-03-12,0.82,0.81,748
,: ,Asia Pacific,202e-12-},}3region{,2018-09-22,2024-08-14,0.93,0.87,3108
", ",: ,Asia Pacific,",start,contract",00,2018-05-10,2022-12-22,0.9,0.86,2276
8time,ono,Middle East & Africa,:00_ ,":.8, {",2018-10-21,2022-03-22,0.93,0.88,1766
 ,s_}T00:00,Europe,9_ ,",s_u:500:",2020-12-12,2023-01-01,0.88,0.83,540
,", ",Europe,id-: ,}a,2018-07-05,2025-07-21,0.86,0.77,540
",_",,North America,SUP,4,2018-09-05,2023-08-17,0.93,0.85,1264
name,00,Europe,countryemail,_supplier_.,2020-07-30,2025-08-26,0.82,0.83,1483
}i00,supplier@on7_,North America,", ",: ,2018-05-10,2024-03-01,0.86,0.82,1604
: ,,Latin America,contract: -,", ",2020-05-12,2022-07-14,0.92,0.77,882
,00,Asia Pacific,", ","}rate.@l9,email{",2020-12-15,2024-09-18,0.88,0.87,1555
data-2.:8: ,", 0",Asia Pacific,00-@. , ,2020-12-20,2025-09-13,0.93,0.8,1349
,:00 : ,Asia Pacific,name,}supplied ,2018-07-22,2025-06-18,0.93,0.77,1274
7 0contract_@_end,:contract: ,North America,5_deliverydelivery,", ",2019-11-17,2024-02-17,0.91,0.82,3115
"totalp, ","supplier-,00 0orders5 ",Asia Pacific,: ,score4.,2020-08-20,2023-06-12,0.93,0.83,1959
: ,,Europe,: 1: , ,2021-07-19,2023-12-01,0.93,0.86,1281
"202supplier__,,timeregion:",end,North America,",",endl,2019-09-03,2022-08-31,0.93,0.81,1216
contact8supplier77,"on}a-,,008",Asia Pacific,{ ,__contract_score: ,2021-07-22,2026-01-12,0.89,0.8,662
",countryid_rate9",,Asia Pacific,}timep1o,contact00email:supplied,2021-07-22,2022-04-05,0.82,0.88,876
-}_qualityend8{00-00sp} , 0 ,Asia Pacific,: ,:: ,2020-07-30,2025-07-12,0.86,0.86,899
},@,Europe,00{8id-countryT00supplier_9,contact,2021-05-05,2024-04-20,0.83,0.81,723
quality,",o038id_delivery ",Europe,,", ",2021-04-10,2024-03-17,0.86,0.84,544
", ",", ",Europe,_,: ,2018-11-18,2025-06-28,0.93,0.88,654
: ,"name728.,,{",North America,", ",: ,2019-06-02,2021-12-01,0.82,0.83,2110
:9-:: ,e{ ,Asia Pacific,_ ,supplierrate,2019-07-12,2023-09-10,0.92,0.87,3010
"region, ",supplied,Middle East & Africa,supplied8:: :l.T00contractSUPstart: ,supplierT00,2019-03-05,2023-06-14,0.87,0.88,1354
": contractscore1, ",SUPT00-contractende2T00}00:-: supplier1:,Europe,on_s,1 ,2018-05-10,2024-09-14,0.93,0.77,885
:,_ ,Asia Pacific,_,", ",2020-06-20,2023-05-17,0.82,0.79,940
: ,,Europe,",00{","region__ss,-8300, ",2021-02-03,2023-12-12,0.93,0.88,898
: {,: ,North America,_delivery_end_,",.s, ",2021-07-22,2023-07-15,0.93,0.87,1795
, ,Middle East & Africa,.T00,,2020-07-10,2023-07-12,0.93,0.79,3100
", } ",@,Asia Pacific,: 00id_,,2018-05-10,2025-07-21,0.82,0.83,2188
 ,00id-s.totalo,Middle East & Africa,00on,: ,2020-07-14,2022-06-30,0.82,0.8,988
As{,{_,Latin America, ,: ,2018-05-10,2026-01-12,0.93,0.85,3118
":700-8,",: contracttotal70,Asia Pacific, ,: 0-srate{,2020-08-20,2024-06-12,0.86,0.83,540
_start,contact-:,Europe,",: ",suppliertotal_id8 ,2021-07-22,2022-01-18,0.93,0.82,2110
": 0startend5contactsupplierorders 0, ",region ,Latin America,qualityT00: 0,", , ",2018-09-22,2024-03-14,0.93,0.85,667
00:8supplier_},,North America,supplier,-- n__3,2020-09-10,2024-04-05,0.93,0.87,867
",s",: ,Asia Pacific,"}id@@on,-2contact12orderssuppliedtotal",",{{",2018-08-21,2024-02-18,0.93,0.87,1440
s,"_ 0 0p,",Asia Pacific, 0orders ,: delivery004} ,2021-07-22,2026-01-12,0.88,0.88,750
supplier 0_.95  ,.,North America,-: ,"A,oend",2021-05-01,2024-12-18,0.91,0.77,556
delivery-_,{,Middle East & Africa,end--T00 iend5se-T00_score,", ",2018-07-12,2023-11-17,0.92,0.77,3113
,supplier1@,Middle East & Africa,,: ,2018-08-22,2024-05-06,0.83,0.88,540
"}@3,",:_@_1}orders ,Europe,:_5,:supplied37delivery00 ,2019-02-17,2022-03-30,0.87,0.77,3120
supplier: ,",a4 ",North America,",o",",,, ",2018-10-01,2021-12-22,0.82,0.88,1335
contactid,202,Asia Pacific,,-_.9s,2021-07-22,2024-08-03,0.87,0.8,1245
__},contact_suppliers,Middle East & Africa,-: ,Astart-2n 1supplieraon,2020-06-22,2024-05-20,0.83,0.85,717
.,: ,Asia Pacific,"8,endquality7@",:00,2020-12-26,2021-12-01,0.82,0.77,987
T00@_iemail-_,,Europe,",.total",@ 019,2019-05-14,2023-05-22,0.86,0.88,3101
T00end,: :{-3n7@country,Asia Pacific,contactsupplier: ,regioncountry,2020-03-12,2025-04-12,0.93,0.8,945
country8on}}4 ,"ncontact2T0012-,_u0",Europe,-s {7e.e:00:data ,@,2019-02-10,2022-12-12,0.93,0.83,2112
: ,:email,Middle East & Africa,:quality,4delivery{,2020-12-14,2021-12-01,0.83,0.83,2036
 ,"on}rate::1, ",North America,a_scoretimecountry1}s,:supplied ,2019-05-21,2024-01-05,0.82,0.83,540
contract,SUP-: ,Latin America,", ",",-1",2020-10-18,2023-04-01,0.87,0.88,1383
:}00,: ,Latin America,: ,",- 0 ",2021-07-22,2026-01-12,0.82,0.84,1018
{name,: ,Latin America,-03T00,:,2021-05-30,2026-01-12,0.93,0.87,1192
. ,_-,Europe,supplier__,:0,2018-05-10,2026-01-12,0.82,0.84,540
T00s,S_,Middle East & Africa,country-:contract_.onid.T00_: ,region_sT00a-74supplied_supplied..00,2019-01-30,2025-01-02,0.93,0.84,1571
contacts}n__, ,Europe,: ,_dataordersdelivery,2019-08-18,2021-12-01,0.87,0.83,1301
", S_00",",SUPdelivery",Asia Pacific, ,: ,2020-03-21,2023-06-13,0.83,0.77,3120
_ .-:78_contract.827data_time_:,qualitys ,Asia Pacific,: ,contact_supplied,2020-02-22,2024-06-07,0.83,0.81,1246
contact,,North America,", {",:,2018-05-10,2024-01-16,0.84,0.84,1342
on_,supplied2 ,North America,8}00:,8_,2019-05-10,2024-01-25,0.93,0.84,730
: ,"onl_contact, ",Latin America,: ,. ,2020-02-10,2024-12-29,0.84,0.87,2192
S_:00:00},",delivery-8country: ",Latin America,: 1{,e5-7820--time20,2018-07-20,2022-01-20,0.82,0.84,874
: , email,Europe,: 01a,:o- ,2021-07-22,2024-03-30,0.93,0.86,3102
_2e2start5,Ao{,Europe,,", ",2019-07-12,2022-07-10,0.86,0.85,1261
:_scoreorders_itotalid,SUP-7s}end,Europe,:_.id_rate, 0_,2020-07-03,2022-12-05,0.83,0.77,990
__on,dataaT00,North America,on_orders. ,: ,2019-10-14,2023-02-04,0.83,0.88,1023
1supplied6_9on- 0-supplied ,data_{,Latin America,,"00-,_,e-T00_: ",2019-03-20,2024-12-18,0.93,0.87,540
 ,", ",North America,on_suppliersupplied:,contract__name ,2018-05-10,2024-03-14,0.82,0.87,715
_},"., 7-id2l",Europe,region_email,",. ",2020-03-10,2023-01-01,0.87,0.84,975
: -5}7,,Latin America,score__.-quality_,",_004.-",2019-06-09,2022-12-29,0.93,0.81,1566
,: ,Asia Pacific,T00,qualitySUP0contact:.8,2020-07-03,2024-01-17,0.83,0.83,559
supplied_score_orders,{:0,Middle East & Africa,202 ,total,2019-07-08,2026-01-12,0.93,0.83,1557
:.49l,: ,Middle East & Africa, 0_email_,: ,2018-07-03,2023-01-21,0.88,0.79,1437
9_, ,Europe,:.,:002 ,2020-05-01,2023-01-30,0.93,0.88,994
_i{-0..._: ,end,Latin America,:}e9: ,supplied-_00__orderstime,2020-12-03,2024-08-14,0.87,0.79,2104
SUPcontract__,", ",Middle East & Africa,00_start::.region8, ,2018-08-10,2022-04-30,0.82,0.84,735
supplied,:: ,Asia Pacific,", 0, ","}3___suppliedl00,8_start",2018-08-05,2022-04-05,0.83,0.86,1341
: , S0 ,Europe,: ,contract: ,2018-09-03,2026-01-12,0.87,0.81,1058
1_score8-deliverycontact_ ,supplier: ,Asia Pacific,,contract00ss,2019-07-15,2023-12-07,0.83,0.82,3120
,,Latin America,0 ,", ",2020-05-12,2022-06-03,0.83,0.88,2916
{supplier,:00,Europe,contractsupplier_time_,"::end, ",2018-09-21,2023-02-14,0.89,0.85,2118
", ",", ",Middle East & Africa,start: ,",: ",2020-12-30,2023-06-29,0.88,0.85,1246
country_end,,North America,_timea,1:-.8_delivery00,2020-11-08,2023-08-20,0.93,0.82,1355
", ", ,Latin America,supplier_.__,data,2019-03-20,2023-01-23,0.87,0.88,540
",ratep5email",contract__,North America,-SUPtime600region,",:",2020-08-10,2024-03-01,0.82,0.86,920
: ,{@ {,North America,90,"contact, ",2019-07-05,2021-12-12,0.84,0.88,919
007,00,Europe,-contract, ,2021-06-18,2026-01-12,0.88,0.8,963
,"totalrate.email_l, ",Europe,SUP_,delivery_00time_,2020-02-29,2022-03-20,0.87,0.87,2091
,: ,Europe,}{,s ,2021-07-22,2024-01-06,0.82,0.78,1344
,__00supplierid,Europe,:_2: ,1}{,2020-03-03,2026-01-12,0.84,0.77,1343
2_time-7-supplier3T00}9a ,5,North America,: , ,2019-08-18,2026-01-12,0.93,0.85,1197
: ,", ",Latin America,", ",: ,2021-07-22,2024-07-12,0.88,0.86,1247
: ,-start0,Middle East & Africa,:orders00: ,id,2021-07-22,2024-01-11,0.82,0.88,754
contact 0- ,,Latin America,: ,",contract_,9__-",2020-09-05,2025-07-29,0.93,0.88,562
0quality2 ,: 0: ,Europe,:8id-00total,: ,2021-05-12,2022-12-20,0.82,0.88,1558
 ,: ,Asia Pacific,aordersl_orders_ , 0start,2018-12-10,2022-04-14,0.93,0.78,3016
n@l,:iend,Middle East & Africa,-0quality_,"a900, ",2019-09-01,2021-12-01,0.93,0.81,2815
_,", ",Middle East & Africa,scoreend,: ,2020-05-22,2022-04-28,0.86,0.88,757
: 0_.,,Europe,:5e ,:orders00contract,2021-07-22,2025-05-30,0.87,0.77,2112
",6 ",", ",North America,: 1{1_.o}name:end,SUP,2019-12-03,2024-06-12,0.82,0.77,1309
quality_{4_: ,",_s00",North America,:00: , : 0_,2018-05-10,2022-12-18,0.83,0.85,1874
", ",:,Europe,00,": ..,. ",2018-05-10,2023-12-27,0.93,0.83,713
stotal...p-00:rate8,_,Middle East & Africa,country ,: . ,2020-09-01,2025-09-20,0.88,0.82,1010
quality{_name__la4 2,1: ,Asia Pacific,}on1-0T00delivery, ,2021-07-08,2026-01-12,0.82,0.84,3100
8ordersquality.00,202_rate-: ,North America,":, ",,2020-07-27,2026-01-12,0.93,0.82,2113
 ,,Middle East & Africa,_ratequality_00aemail ,: ,2019-03-04,2024-07-13,0.86,0.84,1464
"ecountry 0n,time8-9-","_58,00",North America,suppliersuppliercountry_-:id,: ,2018-11-01,2025-12-16,0.88,0.81,1844
country,contract time,Middle East & Africa,1data,__,2019-09-25,2022-05-30,0.88,0.84,2115
s_1deliveryend82@8}T00_supplied_00:rate,supplier_region,North America,"4@9, ",SUP ,2020-01-18,2024-07-12,0.93,0.82,864
supplier_score,: ,Europe,",00",: ,2019-05-03,2022-03-12,0.82,0.86,1924
--_.,_endl,Europe,":00@, 0.8,_.8n ",: {,2021-03-20,2024-02-12,0.92,0.77,863
0,_SUP ,Latin America, 0 ,: ,2018-08-16,2026-01-12,0.92,0.78,2116
,00,North America,"country_e5lscontact,rate ",contact_ ,2018-11-03,2025-12-21,0.88,0.79,2108
: ,: ae1,Latin America,27,: ,2020-10-05,2021-12-01,0.93,0.86,2122
: ,sstartrate5__n,Latin America,.a- , ,2021-01-01,2024-09-22,0.87,0.77,687
, ,North America,supplier}}on@,",, ",2019-12-15,2022-07-25,0.93,0.77,1874
: quality,on959id4email,Latin America,":00email, {",contract.7name8contractendn}.,2021-02-02,2022-01-20,0.88,0.88,1847
"deliveryon-@,na: ",: ,North America,}_,"contact.}, ",2020-05-01,2025-04-11,0.89,0.8,1375
:-0000-idcountry,0,Latin America,quality_8contract.n00,: ,2020-11-09,2024-08-12,0.93,0.88,650
quality ,008,Europe,_-00_l,: ,2018-05-10,2025-12-14,0.92,0.87,3020
 ,"_, ",Latin America,: ,", ",2018-05-10,2024-11-12,0.86,0.84,554
"SUP900,on",00  ,Europe,,",, ",2021-07-22,2023-05-21,0.9,0.88,952
", ",: ,North America,"T00}5end__}start4id,8",n {,2021-05-22,2025-09-18,0.86,0.77,887
"totalT00,-01ai__",data,Europe,: ,supplier_ 0.e:time_,2018-05-10,2026-01-12,0.91,0.82,555
,: ,Latin America,"{_rate,", ,2019-11-25,2025-10-20,0.93,0.86,1481
.,-00,North America,",l",o -name,2019-05-07,2024-11-02,0.88,0.81,1358
",9",", -94007",Middle East & Africa,supplier,: ,2018-05-10,2025-10-05,0.82,0.81,1559
: ,delivery_8_suppliedid,Europe,",00_:: ",email_.{00},2018-05-15,2023-07-01,0.88,0.82,1471
 ,score0,Europe,"start:, ","-:, ., ",2019-11-19,2026-01-12,0.93,0.81,820
"supplier.,endno@T00time9}8{ ", ,North America,country. ,__countryorders00,2018-07-24,2023-12-05,0.86,0.79,3101
on__countrySUPemail00,: ,Europe,"pcountry:,id",contract ,2018-07-09,2022-09-01,0.86,0.77,1350
contractdelivery ,: ,Latin America,contract_supplied: 0,", ",2019-10-09,2026-01-12,0.93,0.81,861
"00,score",supplier_,Asia Pacific,data,: ,2020-01-10,2024-12-11,0.92,0.8,3120
suppliers,contact-country:,North America,- ,on,2018-07-15,2021-12-01,0.93,0.81,1224
: ,S ,Asia Pacific,"_},e",: ,2018-11-15,2025-12-28,0.88,0.86,864
: ,}el200,Europe,: ,quality,2020-12-30,2023-09-15,0.88,0.77,1347
,},Asia Pacific,,} 0_,2019-05-20,2025-06-12,0.93,0.77,720
quality1,"202, ",Asia Pacific,supplier: contract,l2,2021-07-19,2026-01-12,0.84,0.86,2673
_qualitystart,: ,Middle East & Africa,id29,: ,2019-07-10,2025-06-30,0.86,0.8,849
_endon,countryregion,Europe,_rate9,": -countryo,,end.}scoreemail6",2021-07-22,2021-12-01,0.88,0.8,2049
::,._email,North America,: ,supplier_region,2019-12-22,2026-01-12,0.93,0.82,1612
"00, ",:T00 ,Europe,supplier.,:00contractdelivery7::_e. ,2018-05-20,2022-07-12,0.82,0.87,1019
 0name ,deliveryorders--00 ,Asia Pacific,,", ",2021-07-05,2025-06-12,0.89,0.86,1244
20200: ,SUP2orderscountry00oncontractp__ ,Europe,: ,},2019-08-30,2024-06-14,0.93,0.88,2091
,",{ ",Asia Pacific,oncontact ,: ,2020-12-09,2021-12-01,0.88,0.88,1419
supplier a 0contract_, ,Europe,",",: 0,2021-05-22,2024-03-29,0.92,0.81,800
contacte ,: time1,Asia Pacific,:3{,"contract_start-1-_, ",2018-07-14,2024-01-09,0.88,0.87,751
a,: ,Europe,_ ,{,2018-12-22,2025-05-14,0.85,0.81,1355
,8-7lT00,Europe,4 ,1a,2020-09-20,2023-02-12,0.83,0.85,1551
{,: ,Latin America,_email,", ",2021-04-01,2024-07-12,0.82,0.78,1360
:00}}T00,: ,North America,", ",", ",2020-09-22,2023-12-01,0.83,0.87,1073
supplier ,",}",Middle East & Africa,onlid{}00,: ,2018-05-10,2024-03-14,0.82,0.85,3112
}: ,: ,Europe,total@@00: ,: ,2019-05-10,2025-08-04,0.88,0.88,868
", on",ep_ ,Latin America,quality___,8s,2018-09-10,2026-01-12,0.93,0.77,1496
",8 ",_.,Latin America,total__00: 7-email_score_,contract,2019-02-27,2023-06-30,0.86,0.8,577
}name,contract: ,Europe,", ", a,2018-10-15,2024-12-30,0.93,0.85,3120
_supplier},202rate ,North America, 38:7--po_rate:0000@,total__id@end,2020-02-03,2026-01-12,0.83,0.79,991
00, 0- ,North America,: ,endcontractT00: ,2020-09-01,2026-01-12,0.93,0.88,3075
:_:0.,: ,Europe,:00country,-00 0o_,2018-05-10,2022-01-10,0.86,0.79,724
:00-}end}timecontact,", ",Europe,: ,", ",2020-05-12,2024-09-05,0.88,0.81,1281
_,:  ,Latin America,{_start-8} ,-,2021-01-01,2024-09-12,0.89,0.88,1016
{,total_{,Latin America,: ,: 0}s,2020-07-04,2025-01-22,0.91,0.84,1572
:8country-, ,Middle East & Africa,__,: ,2019-11-30,2022-12-03,0.91,0.88,1945
",:iemail}",: ,Latin America,"supplier, ",200._name-rate.2__ic-12,2020-11-20,2023-01-05,0.93,0.77,1241
contractcontact,n ,Europe,", ",n.1,2019-01-20,2024-06-10,0.88,0.77,1908
: ,contract___,North America,", ", ,2018-07-14,2024-01-20,0.82,0.87,540
contractcontract6. ,- ,North America,"__7delivery8orders_s. 0,score.00a}",: ,2018-11-12,2024-11-10,0.88,0.82,1574
: ,: ,North America,: ,p ,2018-05-10,2026-01-12,0.93,0.81,910
",,country{",.7,North America,", ","contract,",2018-07-10,2024-07-22,0.92,0.81,1222
onemail}o@7name:contracto_.,":.emailcontact7,..s.1.quality:rate0}",North America,__,: ,2019-04-16,2026-01-12,0.82,0.81,2105
"202,8.s8. ",o-,Middle East & Africa,:,total,2020-12-22,2025-01-05,0.89,0.88,985
00,scoreSan,Europe,,:--region-end,2019-06-22,2024-07-10,0.93,0.85,1899
 1time,",",North America,: ,SUP,2021-05-10,2026-01-12,0.82,0.83,2111
  ,"} ,_i 0{",Asia Pacific,: ,e,2019-05-18,2023-11-20,0.93,0.82,1005
:00,", --",Asia Pacific,: ,,2021-03-05,2022-03-03,0.93,0.8,2853
total008email _rate,,Latin America,",",@time9,2018-05-10,2023-12-20,0.82,0.77,3103
: ,,Latin America,quality_00{p,,2018-09-12,2021-12-12,0.93,0.8,3120
onesuppliedname9},:s7{,Middle East & Africa,,supplier_,2018-06-05,2024-06-12,0.82,0.82,869
:total,202-8rateid-@ ,Middle East & Africa,name,"country-, ",2019-05-10,2023-03-30,0.83,0.8,1017
:,", ",North America,: ,",, ",2018-07-02,2026-01-12,0.93,0.81,1861
:time:.,", ",Latin America,,":, ",2018-05-10,2026-01-12,0.83,0.85,1605
:-8 ,contract0p_7,North America,00,"onquality,- 0",2020-11-08,2023-11-25,0.91,0.77,2111
{}stime0{T00delivery,contracton,Europe,:,supplierend0,2020-01-22,2024-01-06,0.82,0.84,1257
contact_i.-,: ,Europe,total__ototal_ 00,"} 0SUP, ",2020-12-16,2025-07-12,0.92,0.86,743
-,suppliertimeT00on-4,Latin America,__rate, ,2019-12-04,2025-01-05,0.82,0.87,1539
: ,contract-_ ,Latin America,,suppliera,2019-01-22,2026-01-12,0.88,0.86,762
on: ,":country6, ",Asia Pacific,contract,8-T00: ,2018-05-10,2022-01-04,0.93,0.88,1109
: ,name,Asia Pacific, 0 ,_delivery,2019-07-17,2024-12-12,0.86,0.88,1517
contract_p2.5e.ic3-a ,quality-time_s,Europe,: 00 0,country_,2019-11-22,2024-07-17,0.92,0.77,738
",",:,Europe,,SUP,2020-02-29,2023-08-29,0.88,0.88,1561
 ,20221{,Latin America,:_,9.a7,2018-06-22,2024-05-10,0.93,0.8,540
: ,country ,North America,supplier_T00,",-",2019-08-18,2024-01-11,0.83,0.83,625
